pclass;sex;age;sibsp;parch;fare;embarked;survived
1st;female;29;0;0;211,3375;S;yes
1st;female;2;1;2;151,55;S;no
1st;male;30;1;2;151,55;S;no
1st;female;25;1;2;151,55;S;no
1st;male;48;0;0;26,55;S;yes
1st;female;63;1;0;77,9583;S;yes
1st;male;39;0;0;0;S;no
1st;female;53;2;0;51,4792;S;yes
1st;male;71;0;0;49,5042;C;no
1st;male;47;1;0;227,525;C;no
1st;female;18;1;0;227,525;C;yes
1st;female;24;0;0;69,3;C;yes
1st;female;26;0;0;78,85;S;yes
1st;male;80;0;0;30;S;yes
1st;male;24;0;1;247,5208;C;no
1st;female;50;0;1;247,5208;C;yes
1st;female;32;0;0;76,2917;C;yes
1st;male;36;0;0;75,2417;C;no
1st;male;37;1;1;52,5542;S;yes
1st;female;47;1;1;52,5542;S;yes
1st;male;26;0;0;30;C;yes
1st;female;42;0;0;227,525;C;yes
1st;female;29;0;0;221,7792;S;yes
1st;male;25;0;0;26;C;no
1st;male;25;1;0;91,0792;C;yes
1st;female;19;1;0;91,0792;C;yes
1st;female;35;0;0;135,6333;S;yes
1st;male;28;0;0;26,55;S;yes
1st;male;45;0;0;35,5;S;no
1st;male;40;0;0;31;C;yes
1st;female;30;0;0;164,8667;S;yes
1st;female;58;0;0;26,55;S;yes
1st;male;42;0;0;26,55;S;no
1st;female;45;0;0;262,375;C;yes
1st;female;22;0;1;55;S;yes
1st;male;41;0;0;30,5;S;no
1st;male;48;0;0;50,4958;C;no
1st;female;44;0;0;27,7208;C;yes
1st;female;59;2;0;51,4792;S;yes
1st;female;60;0;0;76,2917;C;yes
1st;female;41;0;0;134,5;C;yes
1st;male;45;0;0;26,55;S;no
1st;male;42;0;0;26,2875;S;yes
1st;female;53;0;0;27,4458;C;yes
1st;male;36;0;1;512,3292;C;yes
1st;female;58;0;1;512,3292;C;yes
1st;male;33;0;0;5;S;no
1st;male;28;0;0;47,1;S;no
1st;male;17;0;0;47,1;S;no
1st;male;11;1;2;120;S;yes
1st;female;14;1;2;120;S;yes
1st;male;36;1;2;120;S;yes
1st;female;36;1;2;120;S;yes
1st;male;49;0;0;26;S;no
1st;male;36;1;0;78,85;S;no
1st;female;76;1;0;78,85;S;yes
1st;male;46;1;0;61,175;S;no
1st;female;47;1;0;61,175;S;yes
1st;male;27;1;0;53,1;S;yes
1st;female;33;1;0;53,1;S;yes
1st;female;36;0;0;262,375;C;yes
1st;female;30;0;0;86,5;S;yes
1st;male;45;0;0;29,7;C;yes
1st;male;27;1;0;136,7792;C;no
1st;female;26;1;0;136,7792;C;yes
1st;female;22;0;0;151,55;S;yes
1st;male;47;0;0;25,5875;S;no
1st;female;39;1;1;83,1583;C;yes
1st;male;37;1;1;83,1583;C;no
1st;female;64;0;2;83,1583;C;yes
1st;female;55;2;0;25,7;S;yes
1st;male;70;1;1;71;S;no
1st;female;36;0;2;71;S;yes
1st;female;64;1;1;26,55;S;yes
1st;male;39;1;0;71,2833;C;no
1st;female;38;1;0;71,2833;C;yes
1st;male;51;0;0;26,55;S;yes
1st;male;27;0;0;30,5;S;yes
1st;female;33;0;0;151,55;S;yes
1st;male;31;1;0;52;S;no
1st;female;27;1;2;52;S;yes
1st;male;31;1;0;57;S;yes
1st;female;17;1;0;57;S;yes
1st;male;53;1;1;81,8583;S;yes
1st;male;4;0;2;81,8583;S;yes
1st;female;54;1;1;81,8583;S;yes
1st;male;50;1;0;106,425;C;no
1st;female;27;1;1;247,5208;C;yes
1st;female;48;1;0;106,425;C;yes
1st;female;48;1;0;39,6;C;yes
1st;male;49;1;0;56,9292;C;yes
1st;male;39;0;0;29,7;C;no
1st;female;23;0;1;83,1583;C;yes
1st;female;38;0;0;227,525;C;yes
1st;female;54;1;0;78,2667;C;yes
1st;female;36;0;0;31,6792;C;no
1st;male;36;0;0;26,3875;S;yes
1st;male;30;0;0;27,75;C;no
1st;female;24;3;2;263;S;yes
1st;female;28;3;2;263;S;yes
1st;female;23;3;2;263;S;yes
1st;male;19;3;2;263;S;no
1st;male;64;1;4;263;S;no
1st;female;60;1;4;263;S;yes
1st;female;30;0;0;56,9292;C;yes
1st;male;50;2;0;133,65;S;yes
1st;male;43;1;0;27,7208;C;yes
1st;female;22;0;2;49,5;C;yes
1st;male;60;1;1;79,2;C;yes
1st;female;48;1;1;79,2;C;yes
1st;male;37;1;0;53,1;S;no
1st;female;35;1;0;53,1;S;yes
1st;male;47;0;0;38,5;S;no
1st;female;35;0;0;211,5;C;yes
1st;female;22;0;1;59,4;C;yes
1st;female;45;0;1;59,4;C;yes
1st;male;24;0;0;79,2;C;no
1st;male;49;1;0;89,1042;C;yes
1st;male;71;0;0;34,6542;C;no
1st;male;53;0;0;28,5;C;yes
1st;female;19;0;0;30;S;yes
1st;male;38;0;1;153,4625;S;no
1st;female;58;0;1;153,4625;S;yes
1st;male;23;0;1;63,3583;C;yes
1st;female;45;0;1;63,3583;C;yes
1st;male;46;0;0;79,2;C;no
1st;male;25;1;0;55,4417;C;yes
1st;female;25;1;0;55,4417;C;yes
1st;male;48;1;0;76,7292;C;yes
1st;female;49;1;0;76,7292;C;yes
1st;male;45;1;0;83,475;S;no
1st;female;35;1;0;83,475;S;yes
1st;male;40;0;0;0;S;no
1st;male;27;0;0;76,7292;C;yes
1st;female;24;0;0;83,1583;C;yes
1st;male;55;1;1;93,5;S;no
1st;female;52;1;1;93,5;S;yes
1st;male;42;0;0;42,5;S;no
1st;male;55;0;0;50;S;no
1st;female;16;0;1;57,9792;C;yes
1st;female;44;0;1;57,9792;C;yes
1st;female;51;1;0;77,9583;S;yes
1st;male;42;1;0;52;S;no
1st;female;35;1;0;52;S;yes
1st;male;35;0;0;26,55;C;yes
1st;male;38;1;0;90;S;yes
1st;female;35;1;0;90;S;yes
1st;female;50;0;0;28,7125;C;no
1st;male;49;0;0;0;S;yes
1st;male;46;0;0;26;S;no
1st;male;50;0;0;26;S;no
1st;male;32,5;0;0;211,5;C;no
1st;male;58;0;0;29,7;C;no
1st;male;41;1;0;51,8625;S;no
1st;male;42;1;0;52,5542;S;yes
1st;female;45;1;0;52,5542;S;yes
1st;female;39;0;0;211,3375;S;yes
1st;female;49;0;0;25,9292;S;yes
1st;female;30;0;0;106,425;C;yes
1st;male;35;0;0;512,3292;C;yes
1st;male;42;0;0;26,55;S;no
1st;female;55;0;0;27,7208;C;yes
1st;female;16;0;1;39,4;S;yes
1st;female;51;0;1;39,4;S;yes
1st;male;29;0;0;30;S;no
1st;female;21;0;0;77,9583;S;yes
1st;male;30;0;0;45,5;S;no
1st;female;58;0;0;146,5208;C;yes
1st;female;15;0;1;211,3375;S;yes
1st;male;30;0;0;26;S;no
1st;female;16;0;0;86,5;S;yes
1st;male;19;1;0;53,1;S;no
1st;female;18;1;0;53,1;S;yes
1st;female;24;0;0;49,5042;C;yes
1st;male;46;0;0;75,2417;C;no
1st;male;54;0;0;51,8625;S;no
1st;male;36;0;0;26,2875;S;yes
1st;male;28;1;0;82,1708;C;no
1st;male;65;0;0;26,55;S;no
1st;male;44;2;0;90;Q;no
1st;female;33;1;0;90;Q;yes
1st;female;37;1;0;90;Q;yes
1st;male;30;1;0;57,75;C;yes
1st;male;55;0;0;30,5;S;no
1st;male;47;0;0;42,4;S;no
1st;male;37;0;1;29,7;C;no
1st;female;31;1;0;113,275;C;yes
1st;female;23;1;0;113,275;C;yes
1st;male;58;0;2;113,275;C;no
1st;female;19;0;2;26,2833;S;yes
1st;male;64;0;0;26;S;no
1st;female;39;0;0;108,9;C;yes
1st;female;22;0;1;61,9792;C;yes
1st;male;65;0;1;61,9792;C;no
1st;male;28,5;0;0;27,7208;C;no
1st;male;45,5;0;0;28,5;S;no
1st;male;23;0;0;93,5;S;no
1st;male;29;1;0;66,6;S;no
1st;female;22;1;0;66,6;S;yes
1st;male;18;1;0;108,9;C;no
1st;female;17;1;0;108,9;C;yes
1st;female;30;0;0;93,5;S;yes
1st;male;52;0;0;30,5;S;yes
1st;male;47;0;0;52;S;no
1st;female;56;0;1;83,1583;C;yes
1st;male;38;0;0;0;S;no
1st;male;22;0;0;135,6333;C;no
1st;female;43;0;1;211,3375;S;yes
1st;male;31;0;0;50,4958;S;no
1st;male;45;0;0;26,55;S;yes
1st;female;33;0;0;27,7208;C;yes
1st;male;46;0;0;79,2;C;no
1st;male;36;0;0;40,125;C;no
1st;female;33;0;0;86,5;S;yes
1st;male;55;1;0;59,4;C;no
1st;female;54;1;0;59,4;C;yes
1st;male;33;0;0;26,55;S;no
1st;male;13;2;2;262,375;C;yes
1st;female;18;2;2;262,375;C;yes
1st;female;21;2;2;262,375;C;yes
1st;male;61;1;3;262,375;C;no
1st;female;48;1;3;262,375;C;yes
1st;female;24;0;0;69,3;C;yes
1st;female;35;1;0;57,75;C;yes
1st;female;30;0;0;31;C;yes
1st;male;34;0;0;26,55;S;yes
1st;female;40;0;0;153,4625;S;yes
1st;male;35;0;0;26,2875;S;yes
1st;male;50;1;0;55,9;S;no
1st;female;39;1;0;55,9;S;yes
1st;male;56;0;0;35,5;C;yes
1st;male;28;0;0;35,5;S;yes
1st;male;56;0;0;26,55;S;no
1st;male;56;0;0;30,6958;C;no
1st;male;24;1;0;60;S;no
1st;female;18;1;0;60;S;yes
1st;male;24;1;0;82,2667;S;yes
1st;female;23;1;0;82,2667;S;yes
1st;male;6;0;2;134,5;C;yes
1st;male;45;1;1;134,5;C;yes
1st;female;40;1;1;134,5;C;yes
1st;male;57;1;0;146,5208;C;no
1st;male;32;0;0;30,5;C;yes
1st;male;62;0;0;26,55;S;no
1st;male;54;1;0;55,4417;C;yes
1st;female;43;1;0;55,4417;C;yes
1st;female;52;1;0;78,2667;C;yes
1st;male;67;1;0;221,7792;S;no
1st;female;63;1;0;221,7792;S;no
1st;male;61;0;0;32,3208;S;no
1st;female;48;0;0;25,9292;S;yes
1st;female;18;0;2;79,65;S;yes
1st;male;52;1;1;79,65;S;no
1st;female;39;1;1;79,65;S;yes
1st;male;48;1;0;52;S;yes
1st;male;49;1;1;110,8833;C;no
1st;male;17;0;2;110,8833;C;yes
1st;female;39;1;1;110,8833;C;yes
1st;male;31;0;0;28,5375;C;yes
1st;male;40;0;0;27,7208;C;no
1st;male;61;0;0;33,5;S;no
1st;male;47;0;0;34,0208;S;no
1st;female;35;0;0;512,3292;C;yes
1st;male;64;1;0;75,25;C;no
1st;female;60;1;0;75,25;C;yes
1st;male;60;0;0;26,55;S;no
1st;male;54;0;1;77,2875;S;no
1st;male;21;0;1;77,2875;S;no
1st;female;55;0;0;135,6333;C;yes
1st;female;31;0;2;164,8667;S;yes
1st;male;57;1;1;164,8667;S;no
1st;female;45;1;1;164,8667;S;yes
1st;male;50;1;1;211,5;C;no
1st;male;27;0;2;211,5;C;no
1st;female;50;1;1;211,5;C;yes
1st;female;21;0;0;26,55;S;yes
1st;male;51;0;1;61,3792;C;no
1st;male;21;0;1;61,3792;C;yes
1st;female;31;0;0;134,5;C;yes
1st;male;62;0;0;26,55;S;no
1st;female;36;0;0;135,6333;C;yes
2nd;male;30;1;0;24;C;no
2nd;female;28;1;0;24;C;yes
2nd;male;30;0;0;13;S;no
